timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1578747142758,1917,HTTP Request,200,OK,Thread Group 1-3,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,1917,0,1
1578747142788,2891,HTTP Request,200,OK,Thread Group 1-8,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,2891,0,1
1578747142747,3310,HTTP Request,200,OK,Thread Group 1-1,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,3309,0,1
1578747142806,3391,HTTP Request,200,OK,Thread Group 1-11,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,3391,0,0
1578747142812,3390,HTTP Request,200,OK,Thread Group 1-12,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,3390,0,0
1578747142830,3374,HTTP Request,200,OK,Thread Group 1-15,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,3374,0,0
1578747142836,3369,HTTP Request,200,OK,Thread Group 1-16,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,3369,0,0
1578747142752,3822,HTTP Request,200,OK,Thread Group 1-2,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,3822,0,0
1578747142764,3286,HTTP Request,200,OK,Thread Group 1-4,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,3286,0,1
1578747142782,3676,HTTP Request,200,OK,Thread Group 1-7,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,3676,0,1
1578747142860,4382,HTTP Request,200,OK,Thread Group 1-20,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4382,0,0
1578747142878,4412,HTTP Request,200,OK,Thread Group 1-23,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4412,0,0
1578747142794,4768,HTTP Request,200,OK,Thread Group 1-9,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4768,0,1
1578747142854,4702,HTTP Request,200,OK,Thread Group 1-19,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4702,0,1
1578747143675,4153,HTTP Request,200,OK,Thread Group 1-166,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4153,0,0
1578747143455,4441,HTTP Request,200,OK,Thread Group 1-129,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4441,0,1
1578747143201,4701,HTTP Request,200,OK,Thread Group 1-78,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4701,0,0
1578747143316,4591,HTTP Request,200,OK,Thread Group 1-101,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4591,0,502
1578747143481,4476,HTTP Request,200,OK,Thread Group 1-134,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4476,0,0
1578747143625,4303,HTTP Request,200,OK,Thread Group 1-159,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4303,0,0
1578747143650,4280,HTTP Request,200,OK,Thread Group 1-162,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4280,0,2
1578747143390,4574,HTTP Request,200,OK,Thread Group 1-116,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4574,0,1
1578747143430,4561,HTTP Request,200,OK,Thread Group 1-124,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4561,0,1
1578747142956,5013,HTTP Request,200,OK,Thread Group 1-36,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,5013,0,0
1578747143176,4800,HTTP Request,200,OK,Thread Group 1-73,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4800,0,1
1578747143311,4684,HTTP Request,200,OK,Thread Group 1-100,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4684,0,0
1578747142908,5034,HTTP Request,200,OK,Thread Group 1-28,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,5034,0,0
1578747143271,4732,HTTP Request,200,OK,Thread Group 1-92,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4732,0,0
1578747143582,4431,HTTP Request,200,OK,Thread Group 1-150,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4431,0,0
1578747143129,4877,HTTP Request,200,OK,Thread Group 1-65,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4877,0,1
1578747143366,4581,HTTP Request,200,OK,Thread Group 1-111,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4581,0,0
1578747143034,4984,HTTP Request,200,OK,Thread Group 1-49,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4984,0,0
1578747143266,4681,HTTP Request,200,OK,Thread Group 1-91,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4681,0,0
1578747143051,4901,HTTP Request,200,OK,Thread Group 1-52,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4901,0,1
1578747143075,4888,HTTP Request,200,OK,Thread Group 1-56,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4888,0,1
1578747143153,4849,HTTP Request,200,OK,Thread Group 1-69,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4849,0,1
1578747143221,4794,HTTP Request,200,OK,Thread Group 1-82,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4794,0,0
1578747143410,4608,HTTP Request,200,OK,Thread Group 1-120,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4608,0,1
1578747143744,4287,HTTP Request,200,OK,Thread Group 1-178,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4287,0,500
1578747143489,4546,HTTP Request,200,OK,Thread Group 1-136,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4546,0,501
1578747143703,4332,HTTP Request,200,OK,Thread Group 1-170,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4332,0,1
1578747143159,4878,HTTP Request,200,OK,Thread Group 1-70,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4878,0,1
1578747143027,5014,HTTP Request,200,OK,Thread Group 1-48,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,5014,0,1
1578747143135,4910,HTTP Request,200,OK,Thread Group 1-66,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4910,0,1
1578747143481,4568,HTTP Request,200,OK,Thread Group 1-131,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4568,0,0
1578747143554,4496,HTTP Request,200,OK,Thread Group 1-146,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4496,0,1
1578747142824,5237,HTTP Request,200,OK,Thread Group 1-14,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,5237,0,0
1578747142974,5092,HTTP Request,200,OK,Thread Group 1-39,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,5092,0,0
1578747143206,4568,HTTP Request,200,OK,Thread Group 1-79,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4568,0,0
1578747143706,4081,HTTP Request,200,OK,Thread Group 1-171,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4081,0,0
1578747143057,4727,HTTP Request,200,OK,Thread Group 1-53,text,true,,3869,142,200,200,http://localhost:8000/dbscanuncached/?Cluster=15.0,4727,0,1
