timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577622379277,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,217,139,1,1,http://localhost:8000/cached/?Cluster=27.0,12,0,1
1577622379776,18,HTTP Request,200,OK,Thread Group 1-2,text,true,,217,139,2,2,http://localhost:8000/cached/?Cluster=27.0,18,0,1
1577622379795,15,HTTP Request,200,OK,Thread Group 1-2,text,true,,217,139,2,2,http://localhost:8000/cached/?Cluster=27.0,15,0,0
1577622379810,11,HTTP Request,200,OK,Thread Group 1-2,text,true,,217,139,2,2,http://localhost:8000/cached/?Cluster=27.0,11,0,0
1577622380276,15,HTTP Request,200,OK,Thread Group 1-3,text,true,,217,139,3,3,http://localhost:8000/cached/?Cluster=27.0,15,0,0
1577622380291,3,HTTP Request,200,OK,Thread Group 1-3,text,true,,217,139,3,3,http://localhost:8000/cached/?Cluster=27.0,3,0,0
1577622380294,4,HTTP Request,200,OK,Thread Group 1-3,text,true,,217,139,3,3,http://localhost:8000/cached/?Cluster=27.0,4,0,0
1577622380777,15,HTTP Request,200,OK,Thread Group 1-4,text,true,,217,139,4,4,http://localhost:8000/cached/?Cluster=27.0,15,0,0
1577622380792,14,HTTP Request,200,OK,Thread Group 1-4,text,true,,217,139,4,4,http://localhost:8000/cached/?Cluster=27.0,14,0,0
1577622380806,14,HTTP Request,200,OK,Thread Group 1-4,text,true,,217,139,4,4,http://localhost:8000/cached/?Cluster=27.0,14,0,0
1577622381278,8,HTTP Request,200,OK,Thread Group 1-5,text,true,,217,139,5,5,http://localhost:8000/cached/?Cluster=27.0,8,0,0
1577622381287,6,HTTP Request,200,OK,Thread Group 1-5,text,true,,217,139,5,5,http://localhost:8000/cached/?Cluster=27.0,6,0,0
1577622381294,16,HTTP Request,200,OK,Thread Group 1-5,text,true,,217,139,5,5,http://localhost:8000/cached/?Cluster=27.0,16,0,0
1577622381778,14,HTTP Request,200,OK,Thread Group 1-6,text,true,,217,139,6,6,http://localhost:8000/cached/?Cluster=27.0,14,0,1
1577622381793,13,HTTP Request,200,OK,Thread Group 1-6,text,true,,217,139,6,6,http://localhost:8000/cached/?Cluster=27.0,13,0,0
1577622381807,13,HTTP Request,200,OK,Thread Group 1-6,text,true,,217,139,6,6,http://localhost:8000/cached/?Cluster=27.0,13,0,0
1577622382277,18,HTTP Request,200,OK,Thread Group 1-7,text,true,,217,139,7,7,http://localhost:8000/cached/?Cluster=27.0,18,0,1
1577622382295,6,HTTP Request,200,OK,Thread Group 1-7,text,true,,217,139,7,7,http://localhost:8000/cached/?Cluster=27.0,6,0,0
