timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577621926322,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,217,139,1,1,http://localhost:8000/cached/?Cluster=27.0,7,0,0
1577621926331,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,217,139,1,1,http://localhost:8000/cached/?Cluster=27.0,3,0,0
1577621926334,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,217,139,1,1,http://localhost:8000/cached/?Cluster=27.0,3,0,0
1577621926821,16,HTTP Request,200,OK,Thread Group 1-2,text,true,,217,139,2,2,http://localhost:8000/cached/?Cluster=27.0,16,0,0
1577621926837,13,HTTP Request,200,OK,Thread Group 1-2,text,true,,217,139,2,2,http://localhost:8000/cached/?Cluster=27.0,13,0,0
1577621926850,12,HTTP Request,200,OK,Thread Group 1-2,text,true,,217,139,2,2,http://localhost:8000/cached/?Cluster=27.0,12,0,0
1577621927321,18,HTTP Request,200,OK,Thread Group 1-3,text,true,,217,139,3,3,http://localhost:8000/cached/?Cluster=27.0,18,0,1
1577621927339,16,HTTP Request,200,OK,Thread Group 1-3,text,true,,217,139,3,3,http://localhost:8000/cached/?Cluster=27.0,16,0,0
1577621927355,15,HTTP Request,200,OK,Thread Group 1-3,text,true,,217,139,3,3,http://localhost:8000/cached/?Cluster=27.0,15,0,0
1577621927822,18,HTTP Request,200,OK,Thread Group 1-4,text,true,,217,139,4,4,http://localhost:8000/cached/?Cluster=27.0,18,0,1
1577621927840,15,HTTP Request,200,OK,Thread Group 1-4,text,true,,217,139,4,4,http://localhost:8000/cached/?Cluster=27.0,15,0,0
1577621927855,16,HTTP Request,200,OK,Thread Group 1-4,text,true,,217,139,4,4,http://localhost:8000/cached/?Cluster=27.0,16,0,0
1577621928322,16,HTTP Request,200,OK,Thread Group 1-5,text,true,,217,139,5,5,http://localhost:8000/cached/?Cluster=27.0,16,0,1
1577621928338,15,HTTP Request,200,OK,Thread Group 1-5,text,true,,217,139,5,5,http://localhost:8000/cached/?Cluster=27.0,15,0,0
1577621928353,15,HTTP Request,200,OK,Thread Group 1-5,text,true,,217,139,5,5,http://localhost:8000/cached/?Cluster=27.0,15,0,0
