timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577622656007,79,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,1,1,http://localhost:8000/uncached/?Cluster=27.0,5,0,1
1577622656007,5,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,1,1,http://localhost:8000/uncached?Cluster=27.0,5,0,1
1577622656013,73,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,1,1,http://localhost:8000/uncached/?Cluster=27.0,73,0,0
1577622656087,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,1,1,http://localhost:8000/uncached/?Cluster=27.0,1,0,0
1577622656087,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,1,1,http://localhost:8000/uncached?Cluster=27.0,1,0,0
1577622656088,67,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,1,1,http://localhost:8000/uncached/?Cluster=27.0,67,0,0
1577622656156,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,1,1,http://localhost:8000/uncached/?Cluster=27.0,1,0,0
1577622656156,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,1,1,http://localhost:8000/uncached?Cluster=27.0,1,0,0
1577622656157,72,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,1,1,http://localhost:8000/uncached/?Cluster=27.0,72,0,0
1577622656229,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,1,1,http://localhost:8000/uncached/?Cluster=27.0,1,0,0
1577622656229,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,1,1,http://localhost:8000/uncached?Cluster=27.0,1,0,0
1577622656231,71,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,1,1,http://localhost:8000/uncached/?Cluster=27.0,71,0,0
1577622656302,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,1,1,http://localhost:8000/uncached/?Cluster=27.0,2,0,0
1577622656302,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,1,1,http://localhost:8000/uncached?Cluster=27.0,2,0,0
1577622656304,71,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,1,1,http://localhost:8000/uncached/?Cluster=27.0,71,0,0
1577622656375,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,1,1,http://localhost:8000/uncached/?Cluster=27.0,2,0,0
1577622656375,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,1,1,http://localhost:8000/uncached?Cluster=27.0,2,0,0
1577622656377,71,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,1,1,http://localhost:8000/uncached/?Cluster=27.0,71,0,0
1577622656448,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,2,2,http://localhost:8000/uncached/?Cluster=27.0,1,0,0
1577622656448,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,2,2,http://localhost:8000/uncached?Cluster=27.0,1,0,0
1577622656450,69,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,2,2,http://localhost:8000/uncached/?Cluster=27.0,69,0,0
1577622656507,85,HTTP Request,200,OK,Thread Group 1-2,text,true,,3865,281,2,2,http://localhost:8000/uncached/?Cluster=27.0,2,0,0
1577622656507,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,203,140,2,2,http://localhost:8000/uncached?Cluster=27.0,2,0,0
1577622656509,83,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,3662,141,2,2,http://localhost:8000/uncached/?Cluster=27.0,83,0,0
1577622656520,84,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,2,2,http://localhost:8000/uncached/?Cluster=27.0,1,0,0
1577622656520,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,2,2,http://localhost:8000/uncached?Cluster=27.0,1,0,0
1577622656521,83,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,2,2,http://localhost:8000/uncached/?Cluster=27.0,83,0,0
1577622656593,89,HTTP Request,200,OK,Thread Group 1-2,text,true,,3865,281,2,2,http://localhost:8000/uncached/?Cluster=27.0,2,0,0
1577622656593,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,203,140,2,2,http://localhost:8000/uncached?Cluster=27.0,2,0,0
1577622656595,87,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,3662,141,2,2,http://localhost:8000/uncached/?Cluster=27.0,87,0,0
1577622656604,86,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,2,2,http://localhost:8000/uncached/?Cluster=27.0,1,0,0
1577622656604,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,203,140,2,2,http://localhost:8000/uncached?Cluster=27.0,1,0,0
1577622656605,85,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3662,141,2,2,http://localhost:8000/uncached/?Cluster=27.0,85,0,0
1577622656683,86,HTTP Request,200,OK,Thread Group 1-2,text,true,,3865,281,2,2,http://localhost:8000/uncached/?Cluster=27.0,1,0,0
1577622656683,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,203,140,2,2,http://localhost:8000/uncached?Cluster=27.0,1,0,0
1577622656684,85,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,3662,141,2,2,http://localhost:8000/uncached/?Cluster=27.0,85,0,0
1577622656690,86,HTTP Request,200,OK,Thread Group 1-1,text,true,,3865,281,2,2,http://localhost:8000/uncached/?Cluster=27.0,2,0,0
